FranjaHoraria;Dia;Malo;PrimerCredito;MedioOrigen;Sexo;Edad;EstadoCivil;Region;TipoConvenio;RubroLaboral;DeudaTC;DeudaTC_cat;AtrasoTC;LimiteUtilizadoTC;EstadoCuentaTC;CantAtraso1mTC;CantAtraso3mTC;MaximoAtrasoTC;TieneTC;CapitalPrestado;Cuotas;MontoCuota;MontoTotal;ProgramaFidelidad;PeorCalificacionBCU;PeorCalificacionBCU_cat;MejorCalificacionBCU;MejorCalificacionBCU_cat;PromedioCalificacionBCU;DeudaVigenteBCU;ContingenciasBCU;PrevisionesBCU;DeudaMorosaBCU;DeudaCastigadaBCU;CantidadInstitucionesBCU;FueDenegadoAnteriormente;DiasUltDenegacion;ContOutBoundCobranza;ContactosInBound;DeudaCreditos;CantCredAtraso0;CantCredAtrasoMedio;CantCredAtrasoMayor;CantCuotasAtraso;CantCuotasAbiertas;MontoCreditosAbiertos;MontoAPagarMensual
Horas-Trabajo;Lunes;1;Nuevo;Web;Mujer;28;Casado;MVDNoroeste;Sin Convenio;AgroYLimpieza;-0,203953919;Sin deudas;0;111,38;Activa;0;0;8;1;2781,189804;11;441,3664249;4855,030335;0;1C;1C;1C;1C;1;5584,490067;1864,396079;85,51926882;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0
Horas-Trabajo;Martes;0;Nuevo;Web;Hombre;24;Casado;Sin Identificar;Sin Convenio;PublicosYOngs;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;927,063268;7;201,3854122;1409,697041;0;1C;1C;1C;1C;1;26797,123;0;133,9791835;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0
Horas-Trabajo;Martes;0;Nuevo;Web;Hombre;68;Casado;Sin Identificar;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1390,594902;11;225,2793023;2478,072563;0;1C;1C;1C;1C;1;4007,066422;0;20,03615488;0;0;1;1;131;0;1;0;0;0;0;0;0;0;0
Horas-Trabajo;Martes;0;Nuevo;Web;Hombre;54;Casado;DptoEste1;Sin Convenio;JubiladosYPensionistas;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2317,65817;11;369,3374171;4062,711077;0;5;Otros;3;Otros;5;19516,54982;504,639937;3334,220126;0;3259,086283;2;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Dormir;Miércoles;1;Nuevo;Web;Hombre;39;Casado;Sin Identificar;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;7;584,1678919;4089,174098;0;1C;1C;1C;1C;1;1048,717145;4193,895165;26,2127139;0;0;1;1;1062;0;0;0;0;0;0;0;0;0;0
Horas-Dormir;Miércoles;1;Nuevo;Web;Hombre;44;Soltero;Canelones;Sin Convenio;PublicosYOngs;-0,006952975;Sin deudas;0;83,65;Activa;0;0;0;1;2781,189804;11;441,3664249;4855,030335;0;1C;1C;1C;1C;1;19474,20621;2713,029795;110,8790845;0;0;4;1;153;0;2;0;0;0;0;0;0;0;0
Horas-Dormir;Miércoles;1;Nuevo;Web;Mujer;30;Otros;DptoEste2;Sin Convenio;Educacion;1140,093136;Con deudas;0;105,66;Activa;0;0;15;1;2317,65817;11;369,3374171;4062,711077;0;5;Otros;3;Otros;4;80106,17653;6685,845865;14568,1225;0;3153,044152;4;1;163;0;5;0;0;0;0;0;0;0;0
Horas-Trabajo;Miércoles;0;Nuevo;Web;Hombre;36;Casado;Sin Identificar;Alianza;Educacion;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;11;441,3664249;4855,030335;0;5;Otros;1C;1C;1;86616,29059;7994,302961;498,0809644;0;0;7;1;346;0;1;0;0;0;0;0;0;0;0
Horas-Trabajo;Miércoles;0;Nuevo;Web;Mujer;41;Casado;DptoEste2;Sin Convenio;JubiladosYPensionistas;-0,057941454;Sin deudas;0;92,4;Activa;0;0;0;1;2781,189804;10;466,3875706;4663,874524;0;4;Otros;1C;1C;2;8608,375764;33,7705972;637,6851042;0;0;3;1;117;0;1;0;0;0;0;0;0;0;0
Horas-Trabajo;Miércoles;1;Nuevo;Web;Hombre;45;Otros;Sin Identificar;Sin Convenio;ServiciosVarios;1704,150876;Con deudas;208;106,65;Cancelada;2;4;190;1;2317,65817;11;369,3374171;4062,711077;0;5;Otros;3;Otros;5;4128,768971;0;2317,141332;2313,319514;0;2;1;471;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Miércoles;0;Nuevo;Web;Hombre;29;Casado;Sin Identificar;Sin Convenio;PublicosYOngs;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;7;584,1678919;4089,174098;0;5;Otros;3;Otros;5;0;1183,373085;201,1727292;452,5389813;828,2012411;3;1;41;0;1;0;0;0;0;0;0;0;0
Horas-Trabajo;Miércoles;1;Nuevo;Web;Hombre;34;Casado;DptoNorte;Sin Convenio;PublicosYOngs;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1390,594902;10;238,234805;2382,348645;0;5;Otros;5;Otros;6;0;0;0;0;1902,329191;1;1;208;0;2;0;0;0;0;0;0;0;0
Horas-Trabajo;Lunes;0;Nuevo;Web;Hombre;38;Casado;Sin Identificar;Sin Convenio;Educacion;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;7;584,1678919;4089,174098;0;1C;1C;1C;1C;1;8495,206833;0;42,45718002;0;0;1;1;588;0;1;0;0;0;0;0;0;0;0
Horas-Trabajo;Martes;0;Nuevo;Web;Hombre;67;Otros;Sin Identificar;Sin Convenio;JubiladosYPensionistas;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;1854,126536;7;392,7766591;2749,43557;0;1C;1C;1C;1C;1;125908,9401;7608,322487;112,6335517;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Martes;1;Nuevo;Web;Hombre;47;Casado;Sin Identificar;Sin Convenio;AdmYServDomestico;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;11;441,3664249;4855,030335;0;3;Otros;1C;1C;2;23284,04919;1853,55871;1002,700042;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Martes;0;Nuevo;Web;Hombre;52;Casado;Sin Identificar;Sin Convenio;Otros;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;11;441,3664249;4855,030335;0;5;Otros;5;Otros;6;0;0;0;0;1311,562758;1;1;210;0;1;0;0;0;0;0;0;0;0
Horas-Casa;Martes;0;Nuevo;Web;Hombre;68;Casado;Sin Identificar;Sin Convenio;JubiladosYPensionistas;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;11;441,3664249;4855,030335;0;1C;1C;1C;1C;1;26374,69967;3253,118314;148,1377573;0;0;5;1;59;0;0;0;0;0;0;0;0;0;0
Horas-Casa;Martes;0;Renovacion;Web;Hombre;39;Otros;MVDNoroeste;Sin Convenio;Industria;7722,995578;Con deudas;54;118,19;Bloqueada;6;0;38;1;2781,189804;10;466,3875706;4663,874524;0;2B;Otros;1C;1C;1;13174,59344;0;275,4420852;0;0;4;1;350;0;0;0;0;0;0;0;0;0;0
Horas-Dormir;Miércoles;0;Nuevo;Web;Hombre;38;Casado;Sin Identificar;Alianza;SupermercadosYMas;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;7;584,1678919;4089,174098;0;5;Otros;5;Otros;6;0;0;0;0;1539,745476;1;0;0;0;0;0;0;0;0;0;0;0;0
Horas-Dormir;Miércoles;1;Nuevo;Web;Mujer;49;Otros;Sin Identificar;Sin Convenio;ServiciosVarios;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2317,65817;8;447,0737148;3576,589229;0;5;Otros;3;Otros;5;17088,78667;0;2905,094128;0;210,8813992;2;1;40;0;0;0;0;0;0;0;0;0;0
Horas-Dormir;Miércoles;1;Nuevo;Web;Hombre;31;Casado;Sin Identificar;Sin Convenio;ServiciosVarios;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;7;584,1678919;4089,174098;0;5;Otros;5;Otros;6;43,85936321;0;1249,440249;2655,783638;0;1;1;3;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Miércoles;1;Nuevo;Web;Hombre;39;Casado;Sin Identificar;Sin Convenio;Industria;856,8729904;Con deudas;2;36,58;Activa;0;0;0;1;2317,65817;11;369,3374171;4062,711077;0;1C;1C;1C;1C;1;2052,455499;4,639951657;10,29040228;0;0;1;1;792;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Miércoles;1;Nuevo;Web;Hombre;29;Casado;Sin Identificar;Sin Convenio;ComerciosYAlojamientos;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;8;534,4837739;4275,870735;0;5;Otros;4;Otros;5;0;0;754,6665827;0;3923,102302;3;1;104;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Miércoles;1;Nuevo;Web;Mujer;35;Casado;DptoSuroeste;Sin Convenio;AgroYLimpieza;32,44721438;Con deudas;-5;19,8;Activa;0;0;0;1;2317,65817;11;369,3374171;4062,711077;0;1C;1C;1C;1C;1;2600,63728;104,5263835;13,54207669;0;0;3;1;1574;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Miércoles;1;Nuevo;Web;Hombre;44;Casado;Sin Identificar;Sin Convenio;ComerciosYAlojamientos;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2781,189804;7;584,1678919;4089,174098;0;1C;1C;1C;1C;1;5098,692691;0;25,49423987;0;0;1;1;151;0;0;0;0;0;0;0;0;0;0
Horas-Trabajo;Miércoles;0;Nuevo;Web;Mujer;29;Otros;Sin Identificar;Sin Convenio;ServiciosVarios;0;Sin Passcard;0;0;Sin Passcard;0;0;0;0;2317,65817;7;488,4722614;3419,305993;0;5;Otros;5;Otros;6;0;0;0;0;2610,858152;1;1;26;0;3;0;0;0;0;0;0;0;0
